method,protein,ligand,pose_rank,file_path,centroid_x,centroid_y,centroid_z,cluster_ward
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model1.sdf,-3.7373157894736844,23.555368421052634,25.472368421052632,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,10,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model10.sdf,-1.3087368421052632,6.088736842105262,-14.849842105263157,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,11,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model11.sdf,0.6495789473684211,4.057578947368421,-12.836947368421054,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,12,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model12.sdf,-8.612368421052631,-6.349315789473683,-27.18047368421053,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,13,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model13.sdf,-8.663157894736843,-6.216315789473683,-27.24363157894737,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,14,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model14.sdf,-1.0018947368421052,4.3707894736842094,19.383736842105264,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,15,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model15.sdf,-7.841157894736842,-6.282105263157895,-26.18568421052632,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,16,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model16.sdf,-0.8108947368421052,3.916684210526316,18.653736842105264,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,17,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model17.sdf,0.3666842105263156,4.0055263157894725,-8.571736842105263,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,18,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model18.sdf,15.857736842105265,-18.391000000000005,14.790315789473683,4
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,19,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model19.sdf,0.27442105263157895,4.060526315789474,-8.625789473684211,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,2,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model2.sdf,-6.530736842105263,-16.882526315789473,-32.71973684210527,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,20,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model20.sdf,-0.06900000000000009,3.800578947368421,-9.495315789473684,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,21,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model21.sdf,-7.971631578947368,-3.464526315789474,-27.28305263157895,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,22,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model22.sdf,-6.949315789473684,32.01763157894737,0.6455263157894737,5
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,23,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model23.sdf,-4.213526315789474,24.07163157894737,24.956526315789475,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,24,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model24.sdf,18.56747368421053,26.085578947368422,5.435894736842105,0
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,25,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model25.sdf,-4.0376315789473685,24.10415789473684,24.866210526315786,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,26,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model26.sdf,-4.6175263157894735,24.610315789473685,25.235210526315786,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,27,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model27.sdf,-1.0052631578947369,3.79142105263158,19.149315789473686,8
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,28,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model28.sdf,-8.480684210526313,-20.346526315789472,8.200999999999999,7
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,29,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model29.sdf,0.1901052631578947,26.964736842105264,-22.38121052631579,3
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,3,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model3.sdf,-6.5831052631578935,-16.949947368421054,-32.74578947368421,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,30,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model30.sdf,-12.935473684210526,-13.618789473684208,-34.55952631578948,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,4,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model4.sdf,-14.054315789473684,-8.121894736842105,20.418526315789478,7
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,5,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model5.sdf,24.548526315789477,9.500894736842104,11.367526315789474,0
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,6,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model6.sdf,-1.5294210526315792,6.3300526315789485,-14.760526315789473,2
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,7,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model7.sdf,-7.067105263157895,-6.38121052631579,-24.933578947368424,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,8,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model8.sdf,-7.6650526315789484,-6.538,-25.589421052631575,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,9,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model9.sdf,24.92342105263158,9.513105263157895,11.345105263157892,0
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_vina_out_model1.sdf,-4.060851851851852,21.818481481481484,-19.095481481481485,0
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,10,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_vina_out_model10.sdf,-9.393333333333334,-20.241333333333333,4.603592592592594,1
AutoDock_Vina,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,11,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_vina_out_model11.sdf,-0.45055555555555554,4.630481481481481,-5.876074074074076,6
