method,protein,n_conf,csv_pb_rmsd,csv_bestfit,csv_cd,csv_rmsd,pb_valid,probe_nearest,pb1_rmsd,pb1_kabsch,pb1_cd,pbN_rmsd,pbN_kabsch,pbN_cd
diffdock_smina,6TW5_9M2,4,0.6699484395182241,0.3162895479024657,0.4514849522661655,0.6699484395182242,True,0.6699484395182242,0.6699484395182241,0.3162895479024657,0.45148495226616553,0.6699484395182241,0.3162895479024657,0.45148495226616553
autodock_mgltools_exh128_gnina,6TW5_9M2,4,64.52814488298884,0.3171950672403832,64.25337478131688,64.52814488298885,True,0.6126228077015499,64.52814488298884,0.31719506724038327,64.25337478131688,0.6126228077015499,0.30357916703741294,0.46530130282877485
equibind_unguided_gnina,6TW5_9M2,4,43.67027173824982,2.9674107049631577,43.38529975637799,43.670271738249824,True,27.33355038661721,43.67027173824982,2.9674107049631577,43.38529975637799,27.333550386617212,2.967043486443381,26.2956018701278
diffdock_smina,6VTA_AKN,3,39.84708201658874,1.633208433192091,39.195545697738496,39.84708201658874,True,7.530476959446195,39.84708201658874,1.633208433192091,39.195545697738496,7.530476959446195,1.6314748808447197,3.75690534205098
autodock_mgltools_exh128_gnina,6VTA_AKN,3,38.61800496321308,3.026526055659032,38.18972274102885,38.61800496321308,True,6.097180785309716,38.618004963213075,3.026526055659032,38.18972274102885,6.097180785309716,3.0337856825636464,2.9463864332909955
equibind_unguided_gnina,6VTA_AKN,3,30.035824660241136,2.8986581655633965,29.17188513041657,30.035824660241143,True,30.035824660241143,30.035824660241136,2.8986581655633965,29.17188513041657,30.035824660241136,2.8986581655633965,29.17188513041657
diffdock_smina,6XHT_V2V,3,58.82022359559328,3.049385468466759,58.18944964706737,58.82022359559328,True,35.179775815177905,58.820223595593276,3.049385468466759,58.18944964706737,35.179775815177905,3.0473064738872555,34.60850256274725
autodock_mgltools_exh128_gnina,6XHT_V2V,3,44.17162354511961,3.541192635546461,43.538227964503584,44.17201163086924,True,44.17201163086924,44.17162354511961,3.541192635546461,43.538227964503584,44.17162354511961,3.541192635546461,43.538227964503584
equibind_unguided_gnina,6XHT_V2V,3,45.23727054623471,4.009922818101237,44.80738469920559,45.23749083958427,True,44.670417041301775,45.23727054623471,4.009922818101237,44.807384699205585,44.67029387980932,3.9892529915441686,44.253625656157276
diffdock_smina,6YJA_2BA,3,6.135806638754339,2.752831886974281,1.6749844654423338,6.135806638754339,True,6.135806638754339,6.135806638754339,2.752831886974281,1.6749844654423338,6.135806638754339,2.752831886974281,1.6749844654423338
autodock_mgltools_exh128_gnina,6YJA_2BA,3,11.942989958577453,2.88212772548822,10.835305742874793,11.942989958577453,True,7.424742869790172,11.942989958577451,2.88212772548822,10.835305742874791,7.396402239095709,2.8404230146906957,3.101049899964734
equibind_unguided_gnina,6YJA_2BA,3,13.13431364645329,3.979877870087481,12.292468686655331,13.13431364645329,True,5.352849780066179,13.13431364645329,3.9798778700874813,12.292468686655331,5.331160731513098,3.9691143686456174,1.6196310053518053
diffdock_smina,6YT6_PKE,3,45.675432829522194,1.7412692341639189,45.25278060762592,45.67543282952219,True,1.9906976382098296,45.675432829522194,1.7412692341639187,45.25278060762592,1.9906976382098296,1.752370228089087,0.6876581074993403
autodock_mgltools_exh128_gnina,6YT6_PKE,3,45.65218635224739,2.263326726755906,45.27812583324428,45.65218635224738,True,2.355511936343789,45.65218635224739,2.263326726755906,45.27812583324428,2.3555119363437886,2.2771345157866696,0.38408490654000643
equibind_unguided_gnina,6YT6_PKE,3,27.4122455905762,2.608726396616006,26.40055298006493,27.4122455905762,True,19.90131431343004,27.4122455905762,2.608726396616006,26.40055298006493,19.901314313430042,2.637116036550734,18.57868742315407
diffdock_smina,6YYO_Q1K,3,6.937829758687244,1.0040937336703522,5.414624294026049,6.937829758687245,True,6.937829758687245,6.937829758687244,1.0040937336703522,5.414624294026049,6.937829758687244,1.0040937336703522,5.414624294026049
autodock_mgltools_exh128_gnina,6YYO_Q1K,3,5.951275682264752,1.0411902019715016,5.525228839456839,5.951275682264752,True,5.951275682264752,5.951275682264752,1.0411902019715016,5.525228839456839,5.951275682264752,1.0411902019715016,5.525228839456839
equibind_unguided_gnina,6YYO_Q1K,3,8.209547761087633,1.0219851907809696,6.85748628427174,8.209547761087633,True,7.194359490857002,8.209547761087633,1.0219851907809696,6.85748628427174,7.194359490857001,1.0770993064957628,1.0903423378771053
diffdock_smina,6Z2C_Q5E,4,45.68772827191211,2.549846536739269,45.4484690792557,45.68889723783685,True,4.233805725939725,45.68772827191211,2.5498465367392695,45.4484690792557,4.233805725939725,2.0858689536287773,1.9524354613923505
autodock_mgltools_exh128_gnina,6Z2C_Q5E,4,2.8986010676239613,2.194999105564241,1.091916569289956,2.909720963888515,True,2.909720963888515,2.8986010676239613,2.1949991055642415,1.091916569289956,2.8986010676239613,2.1949991055642415,1.091916569289956
