method,protein,pose_file,rank,eff_rank,rmsd,pb_rmsd,pb_valid,centroid_dist,bestfit_rmsd,n_copies,rmsd_ref_re,rmsd_refcopy,rmsd_nearest_copy,nearest_copy_is_ref,cd_ref,cd_min_alt,rmsd_min_alt
autodock,6WTN_RXT,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6WTN_RXT_protein__6WTN_RXT_ligand_vina_out_model1.sdf,1,1,3.775249954293266,3.775249954293266,True,1.2343071841939308,1.0734375160546328,1,3.7752499542932654,3.7752499542932654,3.7752499542932654,True,1.2343071841939308,,
diffdock_smina,6WTN_RXT,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/6WTN_RXT_ligand__6WTN_RXT_protein/optimized_smina/rank1_confidence0.38_smina.sdf,1,1,0.6763739826071269,0.6763739826071268,True,0.1748306521683686,0.4306315938055883,1,0.6763739826071269,0.6763739826071269,0.6763739826071269,True,0.17483065216836868,,
autodock,6XBO_5MC,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6XBO_5MC_protein__6XBO_5MC_ligand_vina_out_model1.sdf,1,1,1.0018276934047723,0.6569563428140688,True,0.0705610338935947,0.6132829252342136,1,1.0018276934047725,1.0018276934047725,1.0018276934047725,True,0.07056103389359474,,
diffdock_smina,6XBO_5MC,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/6XBO_5MC_ligand__6XBO_5MC_protein/optimized_smina/rank1_confidence-0.42_smina.sdf,1,1,10.71226331615058,10.71226331615058,True,8.964362072374593,0.8822583254511904,1,10.712263316150581,10.712263316150581,10.712263316150581,True,8.964362072374593,,
autodock,6XCT_478,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6XCT_478_protein__6XCT_478_ligand_vina_out_model1.sdf,1,1,9.022691199731613,9.02269119973161,True,0.6521829397789973,1.4953630283010315,1,9.022691199731613,9.022691199731613,9.022691199731613,True,0.6521829397789973,,
diffdock_smina,6XCT_478,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/6XCT_478_ligand__6XCT_478_protein/optimized_smina/rank1_confidence0.51_smina.sdf,1,1,1.551180408868402,1.551180408868402,True,0.2760858061974069,1.328877869893753,1,1.551180408868402,1.551180408868402,1.551180408868402,True,0.27608580619740697,,
autodock,6XG5_TOP,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6XG5_TOP_protein__6XG5_TOP_ligand_vina_out_model1.sdf,1,1,2.4906887075857624,2.4906887075857624,True,1.6195199066054118,0.8864529599026778,1,2.4906887075857624,2.4906887075857624,2.4906887075857624,True,1.6195199066054118,,
diffdock_smina,6XG5_TOP,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/6XG5_TOP_ligand__6XG5_TOP_protein/optimized_smina/rank1_confidence-0.11_smina.sdf,1,1,0.5875930710473508,0.5875930710473508,True,0.2631541576774894,0.4904615688331096,1,0.5875930710473508,0.5875930710473508,0.5875930710473508,True,0.2631541576774894,,
autodock,5SAK_ZRY,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/5SAK_ZRY_protein__5SAK_ZRY_ligand_vina_out_model1.sdf,1,1,0.4444999687539045,0.4444999687539045,True,0.4638457814532667,0.134771697806223,1,0.4444999687539045,0.4444999687539045,0.4444999687539045,True,0.4638457814532667,,
diffdock_smina,5SAK_ZRY,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/5SAK_ZRY_ligand__5SAK_ZRY_protein/optimized_smina/rank1_confidence-0.40_smina.sdf,1,1,4.253085843896824,4.253085843896823,True,1.5790870301780633,0.1462330887743817,1,4.253085843896824,4.253085843896824,4.253085843896824,True,1.5790870301780633,,
autodock,5SB2_1K2,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/5SB2_1K2_protein__5SB2_1K2_ligand_vina_out_model1.sdf,1,1,0.4476968468357426,0.4476968468357425,True,0.3166155572790265,0.2708528331860861,1,0.4476968468357426,0.4476968468357426,0.4476968468357426,True,0.3166155572790265,,
diffdock_smina,5SB2_1K2,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/5SB2_1K2_ligand__5SB2_1K2_protein/optimized_smina/rank1_confidence0.62_smina.sdf,1,1,0.4851983189033806,0.4851983189033806,True,0.3494478658620713,0.2687466247898092,1,0.4851983189033806,0.4851983189033806,0.4851983189033806,True,0.3494478658620713,,
autodock,6TW7_NZB,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6TW7_NZB_protein__6TW7_NZB_ligand_vina_out_model1.sdf,1,1,1.0297028195317932,1.0297028195317932,True,0.6964600904219492,0.5180721064627102,1,1.0297028195317932,1.0297028195317932,1.0297028195317932,True,0.6964600904219492,,
diffdock_smina,6TW7_NZB,/home/manndo/master_dev/posebusters_results/_benchmark_staging/diffdock/6TW7_NZB_ligand__6TW7_NZB_protein/optimized_smina/rank1_confidence-0.46_smina.sdf,1,1,1.2199993096380193,1.2199993096380193,True,0.6449644905285968,0.686397685496163,1,1.2199993096380193,1.2199993096380193,1.2199993096380193,True,0.6449644905285968,,
autodock,6VTA_AKN,/home/manndo/master_dev/posebusters_results/benchmark/dock/converted_pdbqt/6VTA_AKN_protein__6VTA_AKN_ligand_vina_out_model1.sdf,1,1,8.749308178364734,8.749308178364736,True,1.8370788160146871,2.8713458965547964,2,8.749308178364734,8.749308178364734,8.749308178364734,True,1.8370788160146871,39.826970154532226,40.521162074896125
